iter	Passed	Remaining
0	1587	791967
1	3396	845678
2	5281	874976
3	7070	876758
4	8913	882428
5	10245	843555
6	11784	829950
7	12861	790978
8	14393	785230
9	16118	789790
10	17361	771794
11	19146	778619
12	20335	761812
13	21661	751951
14	23070	745956
15	24673	746385
16	25933	736816
17	27164	727407
18	28460	720491
19	29786	714865
20	31171	711002
21	32853	713811
22	34069	706562
23	35595	705968
24	36870	700534
25	38113	694839
26	39604	693810
27	40758	687073
28	41930	681014
29	43333	678891
30	45052	681603
31	46176	675336
32	47516	672426
33	48764	668354
34	49904	663020
35	51216	660127
36	52460	656469
37	53634	652087
38	54866	648554
39	56053	644618
40	57252	640949
41	58862	641884
42	60047	638180
43	61128	633517
44	62329	630225
45	63476	626481
46	64614	622774
47	65737	619030
48	66769	614555
49	67815	610338
50	68855	606199
51	69880	602046
52	70897	597943
53	71942	594195
54	73003	590665
55	74027	586933
56	75036	583176
57	76063	579656
58	77073	576090
59	78118	572866
60	79138	569539
61	80149	566215
62	81175	563072
63	82182	559867
64	83343	557763
65	84365	554768
66	85484	552458
67	86595	550136
68	87635	547406
69	88667	544670
70	89688	541922
71	90693	539121
72	91725	536531
73	92741	533890
74	93903	532119
75	94916	529533
76	95967	527200
77	97136	525532
78	98266	523674
79	99292	521286
80	100322	518951
81	101349	516635
82	102382	514380
83	103394	512047
84	104436	509894
85	105464	507703
86	106552	505816
87	107612	503823
88	108729	502111
89	109772	500076
90	110916	498515
91	111946	496459
92	113104	494984
93	114119	492897
94	115112	490741
95	116242	489187
96	117165	486781
97	118163	484710
98	119155	482639
99	120174	480697
100	121176	478706
101	122184	476759
102	123198	474854
103	124165	472783
104	125186	470937
105	126209	469116
106	127231	467308
107	128353	465877
108	129353	464012
109	130331	462085
110	131360	460354
111	132482	458956
112	133514	457258
113	134534	455530
114	135510	453666
115	136547	452018
116	137536	450225
117	138537	448487
118	139547	446787
119	140540	445044
120	141490	443180
121	142567	441724
122	143603	440150
123	144596	438453
124	145599	436797
125	146610	435176
126	147627	433583
127	148634	431968
128	149711	430564
129	150732	429008
130	151841	427707
131	153006	426563
132	154016	424993
133	155037	423459
134	156034	421870
135	157063	420377
136	158086	418871
137	159118	417398
138	160145	415917
139	161138	414356
140	162133	412808
141	163149	411319
142	164174	409862
143	165214	408447
144	166342	407253
145	167382	405845
146	168395	404377
147	169521	403187
148	170448	401526
149	171456	400066
150	172458	398596
151	173491	397203
152	174514	395793
153	175522	394355
154	176537	392939
155	177557	391536
156	178592	390172
157	179605	388766
158	180622	387372
159	181649	386004
160	182797	384895
161	183830	383546
162	184851	382176
163	185856	380779
164	186849	379360
165	187841	377946
166	188816	376503
167	189831	375144
168	190866	373826
169	191892	372496
170	192904	371143
171	193945	369848
172	194949	368489
173	196078	367365
174	197041	365934
175	198133	364746
176	199217	363543
177	200282	362308
178	201289	360971
179	202471	359948
180	203605	358839
181	204713	357685
182	205790	356478
183	206933	355385
184	208304	354680
185	209603	353845
186	210746	352747
187	211882	351634
188	213355	351077
189	214442	349879
190	215475	348596
191	216491	347288
192	217477	345936
193	218494	344635
194	219510	343336
195	220502	342004
196	221494	340675
197	222466	339317
198	223478	338025
199	224470	336705
200	225466	335395
201	226476	334109
202	227457	332783
203	228478	331517
204	229477	330224
205	230480	328937
206	231489	327663
207	232497	326391
208	233550	325183
209	234712	324126
210	235706	322839
211	236788	321675
212	237816	320438
213	238854	319217
214	239819	317900
215	240832	316650
216	241839	315393
217	242816	314102
218	243810	312835
219	244833	311606
220	245839	310358
221	246830	309094
222	247826	307838
223	248776	306528
224	249779	305286
225	250856	304135
226	251870	302909
227	252854	301650
228	253869	300431
229	253929	298091
230	255009	296959
231	256014	295740
232	257008	294512
233	258024	293309
